TestEvent,ID,"10 Minute - Write atleast a paragraph about people that you live with now or that you lived with in the past. This could be your family or roommates. What do they look like?  Describe their interests, jobs, schedules, and personalities.  What do you or did you like about living with these people?  You have 10 minutes to write your response.",30_minute - Identify one improvement that would make your city a better place to live for people your age and explain why people your age would benefit from this change.  Use specific reasons and examples to support your opinion and describe the potential immediate and long-term consequences of this improvement.  You have 30 minutes to write your response.,Scored
W16 Placement,78696,"I live with   my uncle in provo , my parents you are vacation 3 weeks  and going train tomorrow at nine o'clock . my look I like, very simple, jeans, t shirt sport and shoes black, hair colors black, my eyes colors brown, i like people the here, have other costumbers and is agradabble, jobs with my uncle cleaning clothes  the days monday a friday in afternoon after  university . I like live here","In Chile is big the where from, funny in afternoon is en neighboor bellavista, other more important is the tower entel very long, is company the tell phone  see all city, a lot events  example , new years, mery christmas, more for the my house  a lot shopping stores where buy clothes, shoest, enter other, very much gym where doing phisical activiti 
my opinion is learnig and if  going the other country mee too is an country biutiful, a much costumbers and for  expored , but in infraestructure you are a long  the other contry more big ,is small but interested",1.04
W16 Placement,20593,I love my parents.My father is very tall with white hair and my mother with long hair who is very nice.And my girefriend whose name is yingying.She is a pretty lady with short hair.She not only has beatufy black eyes but also has a nice vioce.We fall in love in DEC 25.It was a rain day.I very love my parents and yingying.,"My city's name Maoming .It is a beatufy city which is near the sea.As we as know sea city have good weather and Maoming also that.It is sunsime durrting a year. A nice city must be have friendly citzies,so Maoming people is very nice and helpful.",1.04
S17 Placement,08120,"I am married e my wife is good person. I lived with my parents in house of city. My parents are live. They live in Brazil. I have the interest of the speack english fluentlyment. I like to run, to swinn,  to lay with my childrens. I work in the industries to make glasses. I speck demission after travel for USA. I read books and like see tv or dvd films.",The food of the persons can are maked for benefit of your live.,1.05
S17 Placement,12783,"I lived my family.
My family member are Father, Mother, younger sister, two younger brothers.
Father name is Chang mo Gu.
He is so skinny. 
His hobby is playing flute and rinding ice skatting.
My father's job is a car diller.
Mother name is Gyung sun Jo. 
My mother hobby is making food.
Younger sister name is Jeonga Gu.
She like","I like my city. 
So I don't have a any idea.",1.05
F15 LATs,03000,"I live in Springville with Vivian. Vivian is My wife. We love each other. She is very smart. We learn English at the ELC.
English is easy for her but it isn't for me.  So, she always helps me to English. She likes hiking, watching TV and shopping.
She everyday go to school. Her job was teacher.","My city is very beautiful. The city has many buildings. 
Also, the city always clean. And I like drive, because lees trapic.
I love my city.",1.11
W16 Placement,01224,"THE PEOPLE WHIT LIVE NOW IS AMERICAN GIRL AND LATIN GIRL THESE GIRL STADY IN BYU AND UVU, FOR MY IS A NEW EXPERIENCE LIVE WHIT EXTRANGE PERSON, IN NEW COUNTRY,  BECAUSE THE GRIL TO WORK EVERY TIME, EVERY DAY, WAKE UP VERY EARLY ,  I LIKE THEY ARE VERY SMART, AND BELIVE IN YOUR MAIN, I INETERESTS IN KWON MANY PEOPLE, IN MY WEEK OLL THE TIME STUDY ENGLISH, I WIL PRACTICE WHIT MY ROMMMATE, THEY NO SPEAK SPANISH, SO SORRY MY ENGLISH Y VERY BASIC AND BAD  ,I DONT KWON","in my city in my country the people is nice and many peaole wewould like to stady and to work, and the young people is notstady, because they haven't money and my country is veru poor , not posibility the to work, there are a little big to work,.
for example whit out a don't have to work for  many time and, i was very dificul, for eat, for clothing, form stady.",1.16
W16 Placement,09136,"I  arrived at USA last monday. Then I  met my roomate. She is so kind and nice.  She cook for me. I'm very impress. She is korean as me, but she born in america. I received her help. I think very appriciate. Her famaily live at washington. She is second, she have one older brother, two younger brother. I want to trip, go shopping, watch movie, go to church together.","If I make city, I will have to  live some people's opinion is respected. My age is young, I think the world change to enough. 
Identify one improvement that would make my city a better place to live for people your age and explain why people your age would benefit from this change.",1.18
F15 LATs,96085,The las semester I was live with america roomates they are friendly and young but they never clean the aparment .My last roomates not has a job because they study in the morning and at the night they star the homewoork . I s,In my city maybe inprove the security and organisate the trafic. I think this two are more important because many people like live good. One rason is in my contry has to much insecurity and a lot trafic.,1.19
W16 Placement,96137,"I live in provo, and I have roommates. They are kind for me. I can't speak English very well, and sometime I can't understand about our apartment information. But they told me until I understand it. When we meet, we always talking about a lot of things. I like the time, because I can practice conversation. I'm happy .","I think that my city is better than other city in Japan. Because my city have beauiful sea and mountain, so the food is so good. I want to live in my city in the future.",1.21
S17 Placement,39630,"I live in Provo. I have 2 women roommates. She was a BYU student, but she was grauduated yesterday. Now, she is finding her job.
And, second rommate is also BYU student. she is chinese. she is not graduate yet. She has long hair. She is tall.",I think that it make better. It is church.,1.25
S17 Placement,79151,"I lived with my older Sister her name is Brigitte,She is the person in the world, she is very kind is fun person and she is like my mother my mother dead when I was a little girl, she is working in the place for renting cars.",I can Invite to people to make service to other person,1.25
S17 Placement,71341,I am student elc because this is necessary your may family compost an my 3 childrens two ex missionary. Iam socer in Brasil an childrens socer. Iam ex missionary in 1980/1982 mission Brasil Porto Alegre may primogenty mission Brasil Recife 2004/2006. I love in st,"Iam improvement your city in benefit your my family in church this is latter day saints. My opinion this is potential ELC your futuro because  childrens from this student . I suport ELC this is ong time my life and my family and may childreans. This is in consequences and examples em my life. I am reasons and examples see in life because my example in world 56 years my life. this is consequences future in Utah or in world students suport ELC potential. I have opinion this is summer yours she, shes, he, hes and Men and Woman. This is life, this is love, this is my life in Jesus Christ (I am in light) in eternidad. I am see in summer.",1.25
S17 Placement,42287,"My family are peruvians.
I have my father, mother, my older sister ans yonger brother.
My mother likes to cook. She cooks peruvian foods very well.  My older sister has 32. She married and has two daugther.
My younger brother has 11. He is student of elementary school. He likes to play soccer, games and watch anime.","I live in Japan , Nagoyacity.
This city is a centric place of Japan.  This place have a many building , stores, people , and transport( taxis, bus, train).
But, have a many transport is like to have many accident of transport.
I have a many experience dangerous that reference of transit.
Especially, taxies in when I live , no respect a peathonal. Because there have a transit, and many taxies harryup and no see a person that walk.
So, I want to change Nagoya about transport.
Because, I don't want to have more accident forever. 
I can do for change , drive slow and always see for right and left. I need to chek always, and no harryup. Because it's is for reason that have accident.
It's is simple, and all people can do that.",1.28
S17 Placement,44810,"Now,I live in provo.I have a lovely roommate.She is a sunshy girl,she is a teacher.She help me something in live.","I like my living city that very better.People very happiness and friendly. My pearant support my opinion and describe.So,I am every luckly.",1.39
F15 LATs,02169,"my jbs in chile is very dificult but I like , but the smal the childrens is the most importan thimks for my an the people in the hospital i need helps in old the time , but is sik end is verry inportan hel[p.... is dificult for my this decicion but , is other cultur an diferent people an idiom and I live in hose , my roommenes is correan is diferen cultur is verry especial but is crecy get up  at 4 in the mornin and talk me in corean but i scrim and she go to slip an my no, is frustreiry  but in the mornin i dont get up , in the clasroom I'm verry tager !!! 
I think .... I'm happy for  my blesing in the time ....... luego el tiem[eo por que no tengo","My city is better place in my live and people is interestud an happily and benefit but the other people need your smal in your live but now today is heasy , the live is know heasy but other people andertud  this momen and  so happy to  and the  pleace is good for loock but the beatifull please  is the cambian your day , ca",1.41
S17 Placement,98775,"I live in my friends house in provo.They are get married 3years ago.They are student.Her name is Misaki.She likes music.She can play piano,Guiter and base guiter.She always play instrument in her house.His name is Jiffun.He came to Korea.He likes movie and Manga.I like singing and cooking with them.","I live in Ranzan town.This location is Saitama it's tokyo area.So many young people go out for school and Work.We need to announcement other people.There are so many nation in my town.We can do so many activity in here.for exsample B.B.Q and swimming and ca,",1.58
W16 Placement,37126,"My family is beutiful, we have tree childrem, Larissa, Yasmin and Juliana. They are very happy. We livins in Brazil. We are working now, alone student. My wife is have with my childens, bat she can very love with my childrens.","My city have very beutiful places: monts, farms, very radical sports and peaple happnes. 
Very peaples like lives im my city. Bat my city have big problens economics, inlacion and corrupcion are increase year the year. Our politics are bads, neead to make a fast change. 
We have very minerales e petroles in my city, we havevery industries with  very workness.
My city have very old churchs with a lot membres .",1.66
S17 Placement,57689,My name is  Kim  Bokyung. I'm from South Korea. I'm 24 years old. I'm live in Provo now. My brother and mother stay there too. my brother is student in BYU. He speak English very well. My mother is house wipe and farmer.  she likes paln. My brother hobby is piano. he play this very well. and my frined Dayae is student. s,"I think if make city a better place for two reason.
First, do recycle. because recycle is live earth. plastic heart earth. so It doing recycle. 
Seocond, safe energe.",1.71
S17 Placement,31767,"My friends is Yorika. I know her since when i was junir high scool student ent, she is really funny and kind .  We went to Seattle when we were high school student for 10days after she go to college in Seattle .She lives in Seattle who got merrige with America guys and her child now. I always so ploud of her and jealouse. We are good friends forever anyway. 
Thanks.","I lived in Wkayama of Japan. There is really good place and a lot of natural . I have been here 1 year ago. I thougt looks like Wakayama. I like here.
So i want to live here and sutudy English. I think it's good for me to sutudy here.becouse  I can focus to study more. i hope My Englishi become bettter than before.",1.71
F15 LATs,48193,"My sister live whit me in te same apt she work whit me in the same work she is a frienly person. I no like to live whit my sister, because before  I share room whit her and now she is my rommate and I no want to live whit her any more because I haved a lot of problems whit her .","Now in my country every one estar to recycle beause is a good deal and is easy to estar to  makes the diferent around of the word. For this reasons benefit you self, family and friends because in this last years you can have your on work for your self. Finaly you can estar a great visnes for the example make furniture o  somthing diferent for a cehap cost and make the diferent .",1.8
S17 Placement,92221,"I live with my wife, your name is Cristina Cancino, she is chilean and i am from chile , now living in orem, utah, and are very happy.
I am student at ELC, dont speak much english.
I liked much play soccer, is very easy for my, and loved soccer.
i work  in call center in chile, and teachers for kids for soccer.
I am very fun,  i liked eat pichanga and completos, it is chilean food, is very delicious.
Chile is a country very beautiful, have a great maountain division with argentina your name es cordillera de los andes.
bye","In my country Chile,  the improvementn most big is a bus,  long time in pass, much peoples in the bus, littles chair etc.
It is my opinion the transantiago. is our name. 
influence in  the peoples much, for job, for school, for university etc. 
the president of chile is a women, in mi opinion is not good, solutions never, vey bad.
A problem in chile is alcohol, young and kids from elven years drinkin alcohol and somken in the partys and discoteques.
other problem is a figth in the street , ever in localitation from Santiago, Capital from CHile.
Chile need security , in all the country.
Mens specials for the bad peoples.
Other problem is a hours job, is much, sow 9 hours in a one day, is very hard for all.",1.81
S17 Placement,81894,"I have  a big family, they are from peru. I have a 3 sisters and theirs names are samantha, melanie and joyce my sister  melanie, she is a brave person she studies in byu she lives in glenwood.  she studies in the morning and works in the afternoon, my sister joyce works in a jewelerstore she is a smart person, she likes to eat sea food, she spends time with her friends a lot. my sister melanie study and works  she is like my mon.","I live in lima peru, there is a lot traffic. the people better clean the city, there is a lot of garbage in all the street. The president should call more police officer, and use de money for clean the city. 
To a better city we all need to help, the fathers need to teach his sons how to clean our places. this is a problem in Peru. i kwon the church many times clean the beachs in lima make more groups of people to do this works.
if do that we became a better country and safe place for our childrens.",1.84
S17 Placement,63388,"so now ,  I'm live whit  too people ,my brother in yours house , with yours wife , i kike live with they becouse they are friendly and fun , my brother working in the byu , hi is my second brother , and him mane is robinson , him are twenty five year old , and yours wife have twenty four year old , she is very fun . 
they like play soccer , leasing to music and  roonig in the parck .
thas is my family .","well in my city is very nice , beacuse , the people is very frendly , in when a person have a problem the other person all the time help , and , is more easy live there , because all the thinks is very close , so you can do it everything . 
is a good place for live , you can have a job , you can study , you can go to the church , and  the strit is'nt dangeruos , wi have police , hospital , park , cinema , so is a good place for live . 
For example you can take a bus , and is very easy drave , old the people wanna help  .
End you can go to pleace for food , becouse the food in peru is very good .",1.84
W16 Placement,30352,"now i live  whith  students, they are so friendy with me. my roomate    seved a mission in Taiwan,  she is really nice because she care me. The another guys  like  sports laike soccer and basketball.  Katerine  is a girl that live in my apartment, she know speak spanish because  her serviced a  mission  in Puebla, Mexico. She  help me in all like activities in  church and also she gave me a ride to Walmart in her red car.
I like this girls!","I improvement  more transports
 en this city  because  there are so much students internationals in the universidad  that we haven't car and in this city is doing so much cold. Example I can't go  far of campus. We need  more bus or taxi in   the city.  Many people as me  we have that ask  to  students whith car, for that their give a ride. Many students  would benefit this change   because already not depent of other and we  would have  enough conexion  with more places of this beautiful city.
 In effect:
the students would more happy for independence and less worried for transport.",1.96
W17 LATs,82741,"I have 3 roommate. They are also BYU student. They are from U.S.A.
Two roommate look like very busy, but the other roommate is very lazy. He don't like cleaning, shower, cook, and every thing.
I don't like living with him. The other two guys is it okay, just one guy. Maybe he marry soon so my two roommate and I are very happy .","I'm from South Korea. I was born Seoul. Seoul is very big city. Half of Korean living in Seoul.
So seoul is very durty. 
I thinks Korea need change the place some geverment. And than some people need moving to this city.
Because Seoul no more  parking place and every thing. 25000000people living one city? It's creazy.
thanks",1.98
W16 Placement,18812,"I live with my mother and sister,I am pretty like live with my family.My mother is a house wife,she always stay home,but she is do a lot work,like clean the house,wash the dishes and cook,she only like to do thing is take care the pets,and watch the TV.My sister is working for the game company and she usually hang out with her boyfriend,she's hobbit is play the video game.My mother look likes short and black hair,she doesn't looks so old,my sister looks a little fat,and not tall.","I think I am still young,so I can learning more then help any people.If they need me do something I can do,I would like do anything I can do for my city,then make my city get better.My age is benefit for we're not afried to do anthing,so we can accept any chanlleng .",1.99
W16 Placement,12932,"I.m living in apartmet with roomate they ate all american also they are stduents 
there are like sweet food and fast food whenI first tim came in here in aprtmant it was so mass  so Duty 
so I clealning so hard my feel is so bad  
they are schedules is alway in school in study after work in somewhere  they are nice but they don.t like cleaning 
I.m really want to enjoy with them making cooking or sport first I have to know what they like also how many people in family 
I,m really like one of thing about them is they are nice to me and care about me 
someday I want to play ball game with them  
I know they are so busy lol","on my country in korea city name in chanhwon is pretty nice place 
but  so may people is almust working packtory  my city is kind of expansive  every thing 
I wondering they have to make fun thing in my city make more karaoke box and sport cencert 
so many people in my city when they are go to party move to other Big city 
because my city does not have big party  may young people does.nt like it when they are a dult they are move to other city 
this is one of my idea  the city have to make  good plan for young people before when they are be a dult 
also communicate with old people make good city 
one of thing improvement is on my city  live alot of Foringh peopel  they are usually work in pactory  they are hard to communication with korean people
and they felt this country is does not for foringh people just they need factory worker 
so I want to help them more communicate with them Toghter united  
most korean people try to learning English very hard for the test  I hope  the city make a plan 
communication with those korean people and foringh people they can help each other Foringh people help to learning English for korean people 
also korean people help to learning korean for foringh people also they cna share they are cultur  make they are country food eat toghter make Brother hood 
if this plan possble I thing city is should be internationaly  city and so maybe Foringh people more visit our city 
it might be teach to our country curtur and communicate all of world 
also they are foringh pactory works family wiling to joing this city they can felt I.m one of this city member 
they are love this city and proud of they self",1.99
F15 LATs,04358,"My live now is differnt. First, now I can cook Peruvian food, but my last live I don't can cook.For exaplo, I can a lot of different  Secon reasson, I'm study for every day in my room withmy friends (womens), but in my last live I don't can study for every day because in my house is very noise. For examplo, in my hause has a lot of girls soso crasy. Another reasson, now I'm going to go only a super market, but last my live I don't go only because in my country is very strong. Concluding, now I'm indenpendet because every take only me.","'Circuito de agua' is a place vwry confortable and good. First reasson, this place is very beutiful because it has to many places with whater.For example, don't can only look whater also you can see as the people dance.  Secon reasson, can go different people. For example, no is important how year have, can go kids to people old.Another reasson, the price is very cheap. For example, when I will go in this place, always I will go with my friends or my family and we buy 3 tikects they give 5 tikects. Also, they can play in different parts in this place with them family or friends and feel very fine. Concluding, Circuito de agua is a good place for the every people.",1.99
W17 LATs,97931,"My family is very important.
1. My mother is the favorite person, my mother is my queen.
My mother live in Ecuador with my brother and my sister.
She has works in a Company, she has long hair, she has green eyes.
My mother love to the cats.
My mother is kidness, friendly, funny.
My mother has 45 years old, she likes to traverl around the world.
Every years my mother to visit a different country.
----------------------------------------------------------------
My sister is my baby, she has 19 years old.
She is very funny and friendly.
My sister study at University, she study Engineer in Marketing.
She likes to play soccer every day with your friend.
My sister has two cats, The cats are: Melody and Davidcito.
My sister is very smart, the hobby is design and read.
My sister is tall, she has brown eyes, she has long hair, she has normal nose, she has oval face.
My sister is very cool.
My sister likes to go shopping with your friends.
She practice differents sports such us: Bike, canopy, surf","In my country have differents problems such us:
The principal problem is the traffic.
Traffic and clean.
The traffic is terrible in my city every day.
The goverment is prove with differents opctions for realize change with the traffic.
In my opinion is very important find a solution, because affect to everyone in the city.
In the actuality in my city have differents hometown for differents social class.
In the north city live the people with more money, in the south city live the people with less money.
In my opinion is not benefit to the people, because have differents cultures.
Is type affect to the people such us:  The children, Grandfather and Grandmother, because they like to be with everyone.
In my opinion for make your city a better place to live is have a city clean, have very good people, make every weekend clean in the city, make to play for the children, find the best solution for have the best city.
In conclusion everyone have the obligation of clean the city for make your city a better place to live.
The people don't buy more cars, because affect the climate and enviorement.",2
W16 Placement,55224,"they people i live now is very good , their interest about job and school, they people is my friend, i like live with these people because they look good with me, these people is very interesting about my school, i think these people is very good to live with they.","The one improvement i would make my city a better place to live for people and my age, because they people in this age will benefit a work, i need to make work in my city, make a school and everything can be good for all these people, the reason to support my opinion is about i will make work for these people, the potential immediate and long-term consequences of this improvement is to make my city better place to live for people in my age.",2
W16 Placement,13866,"I lived parents in korea. My mom is a short and thin. She has brown hair and brown eyes. She enjoy making clothes. 
She's job is Fixing clothes. She works 10 AM to 8PM. She's very kind and friendly. My father is a tall and overweight. He has black hair and black eyes.
He enjoy fixed the machine. He's job is technition. He works 2PM to 2AM. He's very funny but shy.","I explain Cheonan in Korea. This city has traffic jam. So I went to high school by bus, I spent 2 hours. And Other countries have 'bus-train rule', so keep their money. But Cheonan doesn't have this rule. I don't keep my money. If Cheonan should make many street(car) and  'bus-train rule' , Cheonan could get 'the best city in Korea'.",2
W16 Placement,76098,"I live with my roommate.He is a canadian, also the BYU student. I think that he is so kind and funny. He teachs me English, tell me sometings funny, and also explain how to use the same word but the different meanings. I am preicious him. Maybe this saturday, we will plan to climb 'Y'. It's special for me. I have a great time here.","My father is one of the man who improve our city better. When I was a child, our envirment were durty. Everyone just care about the money. No one wanted to waste time on the around. My father though that it's worong. We should do something to make our city better, because it's ours, and all we just have.He spent a lot of time let people knew that how important the envirment is.He let people clean the beach together, donate the food for homeless, and also clean the city well. I know why he insist to do that and I am so pround of him. Now, when I come home, I usually do him a favor. We enjoy and have fun there. I just want to thanks him.",2
W16 Placement,37542,"I am from south korea. so I was borned in changwon , Korea.  but I am now live riviera apartment in  provo, UT .  my roommates is  good  people.
nicole, alley, mei  is  my great roommates .  yesterday, we went to church together.   nicole and alley is  LDS member and  leader of the meeting . mei is chesse not a LDS member but she interested in our church. So   I  think we are  good friend.","some people argue that whole the time i live the  same place. but I think  it is conservative mind.  because I believe the two things : it is people is growing up , as they thinking mind grow up too. so they are more  variety throght and deeply thinking.  to the explain,  first time, when they have  handphone ,  they  throught that if handphone has internets, It will be more better good life.   so that  people 's thinking is more deeply and diverse  has now and in the future.
sencond thing is  people want to live more convience  life. so they try to easy life style. for the example,  ancestor  lives   wood house , but they  change the life and develop different kind of  the building (use iron, simento etc) 
i considered  about  they live's benefit. in the long term ,  they get  advantage of  live change.  but I can not know short- term consequences. 
but It will be best improvement to each person.",2
W16 Placement,10409,"I living with my husband and my son.. my son has 11 years old..he likes to go to cinema, sledding and play a video game. He is a very happy kids. we like to go to dinner on weekends and spend time together.  my husband works like a producer in a radio station, and my son its a 5th grade in school.Every morning we go to school, all os us, and them me and my husband to to work. My husband is a calm person, different from me and my son.. we are more ansious and no patients persons. We move  to usa just a month ago, we are from Brazil, and we are loving here.","I dont know what it could be improvement in my city from people of my age, but maybe for people from all ages. My original city is a wonderful and dificult place to live.. its a ruge city, so there are so many problems, like traffic and the worst - violence.. the best thing for all population there it would be finish with the violence. We wont be affraid to out of streets or in the cars and the people could be happy in safe.",2
W16 Placement,84842,"now I'm looking for a apartment so I'm living with some friends until i fond a aparment. I'm form Chile, butI moved to Colombia 2 years ago for bussiness. My parents were really happy about my desition to move to UT, because I was spending time just working and I didn't meet any girl. Soo now I'm here with a new live. My actualy roommate are from Chile too and we have some friends in comun, they are nice and feel good living with them, they area studying in BYU, but I need to looking for a new apartment, it's not easyer than I think but I should do.","i think in Melipilla  we need to create a sport team, because the younger people need to do sport, it's going to be better, delincuense is more probably if they don't have anything to do, that is a good reason why the goverment should do it. 
Other thing I think, they impulse a special program like a professions, not everyone can go to the school, so they need to have a free options and then they can get other kind of jobs and with best payment.",2
F15 LATs,76051,"In my live i did everithink activity i love my famyly and my roommates because my roommates is very fany hes is barros my hes compiuter every day and hes help my whis my homework , i love my rooommates , today i looking very fany lik every day , i wearink paens blu , whish shirt purpur and blu yaquet , my interest jobs is teachen my frends or every people , my personality is fany im good tha live im relax every day , im por but i not is person depresay  , and i like the people not is ugly for everithinks cuestion not is important hwist have more money end oder thinks thinks not is important for whist live","In my City the people is fany but not is member the shurt then her the people is member the shurt but not old peope is funi whist hes live not is very good i thinks in my city no is veruy clein then her , her is very clean and and i love  the city is very clean cervi my mission in chile and chile tha city saem whish my city not clean and the people no is very fany whis her in my  country more they lif whist missionary the shurt is very fun and naw i not have tame for activity but now i cervi in orem , i teaching mat for people not undertant  nad not finish hes schol i love the people my class is in spgnish and the people is from mexico and erethink people from languish spanish , i love the people but whist class is finish in thes mon and is return in yanuary   i love teaching thes people  , the people from my country have more potential in everithink but we have more potential we can do more think ejample hes can to do one nation more important in the word and and my conutry is por because the gobernodort not is good administation   because the people in the gobernadort is very corrut and the people is not have  oportunity  for have good live  then her then her the people have nore oportunity for have good live , in oure live we can have  dificult live in consecuens for people not good people corrut in people wanth more money in wanth warior end everithink  pawer , i dont why thes epople wnath thes aidea thes wanths  thes thenk , and we can have live very funy end very happy end whist live in my livwe i l;eanrd the live is short end thes live we need for god , im very good for the gospel jesus crais",2
S17 Placement,66564,"I was liveing Tokyo,Japan.  I have 4 people family. I have old brother. And they looks like Korean. My father's job is selling iphone things and it is busy. I like my family but some times, I had mad to my old brother.","Also, my city has many bad yong mens. and I hope that my city become good city. and I think the missionaly will help my city. Lukely, we have many missionaly in Tokyo. I first met them then I was 19-years-old. I went to church for study English by free English class. After this class, missionaly spoke the gosple. And I listen what they speakes. So, if many people open them hart, it will be good city. And I have to inviet my friends to the church or free English class ,in order to do so. Just I can say how gosple of Jesus Christ change the people. Because I was missionaly.  It is my opinion. I know my English is bad! But it is okay. Because I come hear.",2
